Datum;Preis
30/10/2019;53.00
31/10/2019;52.30
1/11/2019;
4/11/2019;53.00
5/11/2019;53.20
6/11/2019;53.10
7/11/2019;53.00
8/11/2019;52.40
11/11/2019;52.50
12/11/2019;52.60
13/11/2019;52.00
14/11/2019;52.70
15/11/2019;52.50
18/11/2019;52.90
19/11/2019;51.80
20/11/2019;51.10
21/11/2019;51.70
22/11/2019;52.60
25/11/2019;52.30
26/11/2019;52.40
27/11/2019;52.80
28/11/2019;52.50
29/11/2019;52.40
2/12/2019;52.00
3/12/2019;51.30
4/12/2019;51.60
5/12/2019;51.70
6/12/2019;51.90
9/12/2019;52.00
10/12/2019;51.70
11/12/2019;51.60
12/12/2019;51.50
13/12/2019;51.90
16/12/2019;52.40
17/12/2019;52.80
18/12/2019;52.90
19/12/2019;52.90
20/12/2019;53.50
23/12/2019;53.60
27/12/2019;54.60
30/12/2019;54.70
2/1/2020;54.50
3/1/2020;56.05
6/1/2020;
7/1/2020;54.60
8/1/2020;55.00
9/1/2020;53.60
10/1/2020;53.50
13/1/2020;52.50
14/1/2020;51.10
15/1/2020;51.40
16/1/2020;50.70
17/1/2020;50.60
20/1/2020;50.90
21/1/2020;50.50
22/1/2020;49.80
23/1/2020;48.70
24/1/2020;48.80
27/1/2020;46.90
28/1/2020;46.80
29/1/2020;48.40
30/1/2020;47.40
31/1/2020;47.40
3/2/2020;46.20
4/2/2020;46.10
5/2/2020;47.00
6/2/2020;48.50
7/2/2020;48.70
10/2/2020;47.80
11/2/2020;47.90
12/2/2020;48.50
13/2/2020;48.60
14/2/2020;49.10
17/2/2020;49.00
18/2/2020;47.90
19/2/2020;48.60
20/2/2020;48.70
21/2/2020;47.85
24/2/2020;46.70
25/2/2020;46.60
26/2/2020;44.90
27/2/2020;43.60
28/2/2020;43.20
2/3/2020;44.00
3/3/2020;45.40
4/3/2020;46.30
5/3/2020;46.30
6/3/2020;44.80
9/3/2020;39.50
10/3/2020;41.90
11/3/2020;43.00
12/3/2020;42.60
13/3/2020;43.10
16/3/2020;41.50
17/3/2020;41.30
18/3/2020;40.30
19/3/2020;40.70
20/3/2020;42.70
23/3/2020;41.50
24/3/2020;41.90
25/3/2020;41.30
26/3/2020;39.80
27/3/2020;39.00
30/3/2020;38.50
31/3/2020;37.80
1/4/2020;36.20
2/4/2020;36.00
3/4/2020;37.80
6/4/2020;38.00
7/4/2020;37.80
8/4/2020;36.80
9/4/2020;36.40
14/4/2020;35.50
15/4/2020;34.50
16/4/2020;33.90
17/4/2020;35.00
20/4/2020;34.40
21/4/2020;31.40
22/4/2020;30.20
23/4/2020;31.30
24/4/2020;31.00
27/4/2020;30.30
28/4/2020;29.40
29/4/2020;30.50
30/4/2020;31.50
4/5/2020;30.80
5/5/2020;31.90
6/5/2020;32.90
7/5/2020;32.00
8/5/2020;32.00
11/5/2020;32.10
12/5/2020;31.10
13/5/2020;28.80
14/5/2020;29.00
15/5/2020;30.10
18/5/2020;30.80
19/5/2020;31.60
20/5/2020;31.10
22/5/2020;30.40
25/5/2020;31.10
26/5/2020;31.00
27/5/2020;30.50
28/5/2020;29.80
29/5/2020;29.30
2/6/2020;30.30
3/6/2020;31.30
4/6/2020;30.70
5/6/2020;31.00
8/6/2020;32.30
9/6/2020;31.90
10/6/2020;32.10
11/6/2020;-
12/6/2020;31.50
15/6/2020;31.50
16/6/2020;32.50
17/6/2020;33.40
18/6/2020;33.40
19/6/2020;34.20
22/6/2020;34.30
23/6/2020;34.40
24/6/2020;33.80
25/6/2020;32.70
26/6/2020;33.10
29/6/2020;32.30
30/6/2020;32.80
1/7/2020;33.20
2/7/2020;33.30
3/7/2020;33.50
6/7/2020;33.90
7/7/2020;33.20
8/7/2020;33.00
9/7/2020;32.90
10/7/2020;32.40
13/7/2020;32.80
14/7/2020;32.00
15/7/2020;32.00
16/7/2020;31.80
17/7/2020;31.60
20/7/2020;31.10
21/7/2020;32.30
22/7/2020;32.30
23/7/2020;32.20
24/7/2020;31.70
27/7/2020;31.50
28/7/2020;31.30
29/7/2020;31.30
30/7/2020;31.20
31/7/2020;30.70
3/8/2020;30.70
4/8/2020;30.50
5/8/2020;31.30
6/8/2020;31.30
7/8/2020;31.20
10/8/2020;31.20
11/8/2020;31.40
12/8/2020;31.40
13/8/2020;31.80
14/8/2020;31.70
17/8/2020;31.70
18/8/2020;31.70
19/8/2020;31.70
20/8/2020;31.60
21/8/2020;31.60
24/8/2020;31.60
25/8/2020;31.70
26/8/2020;32.20
27/8/2020;31.90
28/8/2020;31.40
31/8/2020;32.00
1/9/2020;31.60
2/9/2020;31.80
3/9/2020;31.00
4/9/2020;31.20
7/9/2020;30.60
8/9/2020;30.10
9/9/2020;30.10
10/9/2020;30.10
11/9/2020;29.60
14/9/2020;29.70
15/9/2020;29.60
